ZIP,State,County,Date Sent,Assigned List,Assigned Agency,Report Month,Estimated Population,Estimated Lead Volume
30045,GA,Lawrenceville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,197.0,197.0
30094,GA,Conyers Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,205.0,205.0
31605,GA,Valdosta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,105.0,105.0
30701,GA,Calhoun Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,150.0,150.0
30144,GA,Kennesaw Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,175.0,175.0
30047,GA,Lilburn Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,168.0,168.0
30019,GA,Dacula Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,315.0,315.0
30705,GA,Chatsworth Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,97.0,97.0
30542,GA,Flowery Branch Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,252.0,252.0
30909,GA,Augusta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,167.0,167.0
30815,GA,Hephzibah Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,130.0,130.0
31047,GA,Kathleen Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,78.0,78.0
30080,GA,Smyrna Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,244.0,244.0
30134,GA,Douglasville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,160.0,160.0
31005,GA,Bonaire Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,83.0,83.0
30233,GA,Jackson Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,136.0,136.0
30736,GA,Ringgold Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,185.0,185.0
30318,GA,Atlanta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,406.0,406.0
31405,GA,Savannah Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,190.0,190.0
31312,GA,Guyton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,195.0,195.0
30032,GA,Decatur Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,280.0,280.0
31008,GA,Byron Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,80.0,80.0
30165,GA,Rome Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,159.0,159.0
30461,GA,Statesboro Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,83.0,83.0
30507,GA,Gainesville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,107.0,107.0
30083,GA,Stone Mountain Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,160.0,160.0
30067,GA,Marietta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,143.0,143.0
30008,GA,Marietta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,91.0,91.0
30064,GA,Marietta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,198.0,198.0
30620,GA,Bethlehem Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,80.0,80.0
30315,GA,Atlanta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,183.0,183.0
30223,GA,Griffin Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,195.0,195.0
30549,GA,Jefferson Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,274.0,274.0
30236,GA,Jonesboro Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,148.0,148.0
30294,GA,Ellenwood Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,140.0,140.0
30022,GA,Alpharetta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,163.0,163.0
31210,GA,Macon Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,123.0,123.0
30014,GA,Covington Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,257.0,257.0
30092,GA,Peachtree Corners Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,110.0,110.0
30291,GA,Union City Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,78.0,78.0
30316,GA,Atlanta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,277.0,277.0
31632,GA,Hahira Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,85.0,85.0
30122,GA,Lithia Springs Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,65.0,65.0
30004,GA,Alpharetta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,311.0,311.0
30534,GA,Dawsonville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,242.0,242.0
